case_id,category,variant,mode,recall_at_5,recall_at_10,precision_at_5,substantive_precision_at_5,mrr,ndcg_at_10,short_fragment_rate_at_5,short_fragment_rate_at_10,irrelevant_short_fragment_rate_at_5,top_similarity,filter_accurate
kw-liquidity,direct_keyword,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
kw-liquidity,direct_keyword,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
kw-liquidity,direct_keyword,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2000,0.3000,0.2000,0.7688,
kw-liquidity,direct_keyword,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,
kw-liquidity,direct_keyword,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.7688,
kw-liquidity,direct_keyword,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,
kw-liquidity,direct_keyword,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2000,0.3000,0.2000,0.7688,
kw-liquidity,direct_keyword,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,
kw-liquidity,direct_keyword,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.7688,
kw-liquidity,direct_keyword,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,
kw-debt,direct_keyword,baseline,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
kw-debt,direct_keyword,remediated,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
kw-debt,direct_keyword,baseline,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.7608,
kw-debt,direct_keyword,baseline,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.7000,0.8000,,
kw-debt,direct_keyword,remediated,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.7608,
kw-debt,direct_keyword,remediated,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.6000,0.6000,,
kw-debt,direct_keyword,baseline,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.7608,
kw-debt,direct_keyword,baseline,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.7000,0.8000,,
kw-debt,direct_keyword,remediated,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.7608,
kw-debt,direct_keyword,remediated,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.6000,0.6000,,
