case_id,case_type,expected,actual,candidate_presence,required_evidence_rank,selected_flag,primary_stage,secondary_notes,ground_truth_review_flag
sup-act-financial-growth,answerable_by_one_passage,SUPPORTED,SUPPORTED,false,,false,RETRIEVAL_MISS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-act-governance-board-meetings,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,4,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-act-risk-labour-standards,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,2,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-bel-financial-repurchase,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,44,false,RERANKING_MISS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-bel-governance-board-charter,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,42,false,RERANKING_MISS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-bel-risk-credit-guarantee,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,4,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-kp2-governance-hse-committee,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,13,false,RERANKING_MISS,2 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-kp2-financial-loss,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,3,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,3 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_SINGLE_PASSAGE,false
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,1,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=INSUFFICIENT_TOPIC_COVERAGE,false
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,3,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-financial-fair-value,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,3,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-sdl-governance-key-management,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,3,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
