case_id,question,expected_passage_ids,expected_passage_count,passage_word_count,effective_heading,heading_is_own,previous_passage_id,next_passage_id,earlier_comparison_passage_id,later_comparison_passage_id,comparison_alignment_status,vector_available,current_keyword_rank,current_semantic_rank,merged_candidate_status,diagnosed_dependency,recommended_representation
sup-act-financial-growth,What growth opportunities has ACT identified in its healthcare administration business?,688cd61c-5d1a-5748-88c7-7659ef214b93,1,372,49 INTEGRATED REPORT 2017,false,7e385658-f108-534a-a04c-3ad5ff71c338,f88c1be0-bb3e-56fe-beec-11d7ca5f9585,688cd61c-5d1a-5748-88c7-7659ef214b93,688cd61c-5d1a-5748-88c7-7659ef214b93|a25b7caa-783e-554d-81e1-95e78ef1396c,NEW|LIGHTLY_MODIFIED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
sup-sdl-strategy-sovereign-risk,How does Southern Palladium mitigate sovereign risk in South Africa?,02b401a2-bca1-5c12-8705-ccedd141a895,1,327,Sovereign risk,true,1b142042-7702-57f6-980f-09597fda9c7f,e1bbecce-5761-52a7-88f1-7f3ef550b4c1,02b401a2-bca1-5c12-8705-ccedd141a895,61a77e5f-4b6c-5f88-a1a5-7d410b307f26,LIGHTLY_MODIFIED,true,,,ABSENT,LONG_OR_TOPICALLY_DILUTED_PASSAGE_NEVER_SURFACES,LOCAL_WINDOW
sup-period-kp2-2024,What did Kore Potash disclose about its 2024 governance committee meeting activity?,e7231e0f-37d5-589f-8f8c-5a004e526fa4,1,403,Environment,false,ff7c4d8b-c449-5960-8d6f-b1303db41812,503d93f9-62c0-5b1c-bf68-322fa01062e3,e7231e0f-37d5-589f-8f8c-5a004e526fa4,e7231e0f-37d5-589f-8f8c-5a004e526fa4|7961b9e5-0d7b-5ae8-8c16-2f46ef5ec3ef,NEW|LIGHTLY_MODIFIED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
partial-act-diversity-and-gender-pay-gap,"What diversity commitments has ACT made, and what is the exact gender pay gap figure?",f8ff34f3-e750-5913-abea-5803cd2788c9,1,369,Labour standards,true,cd7bc774-bd8d-5702-bb7e-faa8a18d7da6,2777dfa6-4a8d-5d8b-9b13-b0e87fdce1f3,3b1ed043-d101-5d03-9829-8b53f064cc46,f8ff34f3-e750-5913-abea-5803cd2788c9|f8ff34f3-e750-5913-abea-5803cd2788c9,NEW|LIGHTLY_MODIFIED,true,,,ABSENT,LONG_OR_TOPICALLY_DILUTED_PASSAGE_NEVER_SURFACES,LOCAL_WINDOW
numeric-trap-short-heading-operations,What is disclosed about ongoing healthcare operations?,003006b0-5d3e-51ba-99a1-702112625371,1,398,HEALTHCARE ADMINISTRATION,true,5f7cce96-8ddc-5cd8-9e86-d12279a55d7d,4a077c52-006c-5b0f-9b07-5aa9847d13a4,76a224ba-0349-59ff-9237-bde0d52fc8da|003006b0-5d3e-51ba-99a1-702112625371,003006b0-5d3e-51ba-99a1-702112625371|fc658ea2-2636-5244-9bc2-64a91cf86fbd,SUBSTANTIALLY_MODIFIED|SUBSTANTIALLY_MODIFIED,true,,,ABSENT,LONG_OR_TOPICALLY_DILUTED_PASSAGE_NEVER_SURFACES,LOCAL_WINDOW
short-heading-trap-usd-currency,What currency does Kore Potash report its financial results in?,9dd921c5-fd16-565c-82c6-eed67f67bad0,1,419,NOTE 1: MATERIAL ACCOUNTING POLICIES (CONT) Basis of Preparation (Cont),false,b7ed309a-7764-5f3d-a7c6-75dafd5eef32,da55cc31-1050-54e7-bf64-12690ef74c2b,e19bb59d-10fd-5d37-8416-fa27364f54aa|9dd921c5-fd16-565c-82c6-eed67f67bad0,9dd921c5-fd16-565c-82c6-eed67f67bad0|8483035e-a380-592d-9f93-385b46c6f385,UNCHANGED|UNCHANGED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
broad-corpus-governance-practices,What governance practices are commonly disclosed across companies in this corpus?,d128c408-9100-5150-8615-eb8fed857010|444943af-7bb7-5c9a-857c-a40fb54b5dae|f3d98e55-2f34-572b-b8c7-220c4311add4,3,362,CORPORATE GOVERNANCE REPORT CONTINUED,false,48fc10ae-875b-53b9-af10-11900d2a3b81,6e44e025-f62a-50f4-b98e-fd31c2641962,12b07b1e-6984-5344-8862-d1e1aadb8940|d128c408-9100-5150-8615-eb8fed857010,d128c408-9100-5150-8615-eb8fed857010|e2f10429-c363-5909-b573-c38fdf53ea9d,LIGHTLY_MODIFIED|SUBSTANTIALLY_MODIFIED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
broad-corpus-governance-practices,What governance practices are commonly disclosed across companies in this corpus?,d128c408-9100-5150-8615-eb8fed857010|444943af-7bb7-5c9a-857c-a40fb54b5dae|f3d98e55-2f34-572b-b8c7-220c4311add4,3,399,Chairman: non executive director Gary Bell,false,a16bb7ec-36b0-5902-bdad-6007d190bc0f,35c7ea58-71e0-5b23-b7b4-c7dab5add0e4,ad52a182-b0fd-54b2-b668-2ea153325903,444943af-7bb7-5c9a-857c-a40fb54b5dae,LIGHTLY_MODIFIED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
broad-corpus-governance-practices,What governance practices are commonly disclosed across companies in this corpus?,d128c408-9100-5150-8615-eb8fed857010|444943af-7bb7-5c9a-857c-a40fb54b5dae|f3d98e55-2f34-572b-b8c7-220c4311add4,3,380,11.2 Remuneration philosophy and policy,true,c946dd4d-ec9d-5171-ad11-4df83ca96167,1e92f79a-740c-5b30-ad59-2f8899317824,6084b36a-bd6d-5e42-9341-bc2ed1350129,f3d98e55-2f34-572b-b8c7-220c4311add4,LIGHTLY_MODIFIED,true,,,ABSENT,SCOPE_ROUTING_NOT_A_CHUNK_SHAPE_PROBLEM,QUERY_TYPE_ROUTING_EXPERIMENT
multi-company-remuneration-comparison,How do ACT and Sabvest Capital's remuneration policies compare?,d128c408-9100-5150-8615-eb8fed857010|f3d98e55-2f34-572b-b8c7-220c4311add4,2,362,CORPORATE GOVERNANCE REPORT CONTINUED,false,48fc10ae-875b-53b9-af10-11900d2a3b81,6e44e025-f62a-50f4-b98e-fd31c2641962,12b07b1e-6984-5344-8862-d1e1aadb8940|d128c408-9100-5150-8615-eb8fed857010,d128c408-9100-5150-8615-eb8fed857010|e2f10429-c363-5909-b573-c38fdf53ea9d,LIGHTLY_MODIFIED|SUBSTANTIALLY_MODIFIED,true,,,ABSENT,DEPENDENT_ON_PRECEDING_HEADING_NOT_ATTACHED_TO_PASSAGE,HEADING_PLUS_PASSAGE
