sample_reason,ticker,report_id,directory_year,passage_id,passage_index,heading_text,word_count,passage_type,category,suggested_action,alignment_status,confidence,text_excerpt
alignment_status:AMBIGUOUS,ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,2018,e41c5426-e9f4-4155-909f-bf5f51c0a73f,157,er,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,AMBIGUOUS,NEEDS_REVIEW,er
alignment_status:AMBIGUOUS,BEL,5e143d2c-c26b-4d8f-bdd2-8c77fa9621fb,2018,2263893a-317d-4750-a0fe-828f5b22e3bf,212,2018 REMUNERATION COMMITTEE MEMBERS,375,HEADING_WITH_BODY,list_content,,AMBIGUOUS,NEEDS_REVIEW,2018 REMUNERATION COMMITTEE MEMBERS  Name of director Designation  Derek Lawrance Chairman of the committee Independent non-executive director  John Barton Lead independent non-executive director  Ashley Bell* Non-executive director  Gary B
alignment_status:AMBIGUOUS,SUR,e963ada9-264f-493c-8877-ced57861c1da,2023,539a4520-abbb-4e15-a2a3-15af4c60801b,1850,BACK ABOUT THIS,26,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,AMBIGUOUS,NEEDS_REVIEW,BACK ABOUT THIS  Focus Description GRI ref  2020 Actual  2021 Target  2021 Actual  2022 Target  2022 Actual  2023 Target  2023 Actual  2024 Target  2025 Target Comment
alignment_status:LIGHTLY_MODIFIED,BEL,5e143d2c-c26b-4d8f-bdd2-8c77fa9621fb,2018,0a410bbe-d725-4386-b14f-6c1199fc69a6,371,,398,MULTI_PARAGRAPH,list_content,,LIGHTLY_MODIFIED,NEEDS_REVIEW,• the share capital and reserves of the company and the group will be adequate for ordinary business purposes for a period of 12 months after the date of the general repurchase; and  • the working capital of the company and the group will b
alignment_status:LIGHTLY_MODIFIED,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,7e9588e3-0b8d-4058-bbef-5e5bb29d23ee,176,FC,1,HEADING_WITH_BODY,short_fragment_invalid,REVIEW,LIGHTLY_MODIFIED,NEEDS_REVIEW,FC
alignment_status:LIGHTLY_MODIFIED,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,22dc45f6-0698-4690-a2e1-52ebe879e84a,2213,SASB 310,153,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,LIGHTLY_MODIFIED,NEEDS_REVIEW,SASB 310  Our Gauteng company-owned restaurants in Morningside fall within a bargaining council. This represents 22.2% of employees in our company-owned restaurants. Our franchised restaurants fall within the Johannesburg and Pretoria barga
alignment_status:NEW,ACT,ccfc1325-dd2d-4f31-af07-f5146a0fdf03,2023,f067638a-e97a-476c-8596-97dbd8da4145,12,CONTENTS,1,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,NEW,HIGH,CONTENTS
alignment_status:NEW,KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,2021,7a7834c6-da92-458b-bce8-fe1e8c1280f4,284,,597,LIST,list_content,,NEW,HIGH,• the financial statements give a true and fair view of the state of the Group's and of the Parent Company's affairs as at 31 December 2020 and of the Group's loss for the year then ended; • the Group financial statements have been properly
alignment_status:NEW,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,52be8cab-b486-4fc3-9bb7-bad6e1ca495e,143,Turnover,7,HEADING_WITH_BODY,list_content,,NEW,HIGH,Turnover  * Virtual kitchens. ** Excluding marketing.
alignment_status:REMOVED,ACT,71c5bb69-2abf-4b9a-8167-cc0fc0645540,2016,0264b699-bebf-4ee5-b49f-45d6fc05a039,3,CONTENTS,1,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,REMOVED,MEDIUM,CONTENTS
alignment_status:REMOVED,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,b1c453b2-1289-417c-84d3-db333ef1796f,102,Manufactured capital,35,HEADING_WITH_BODY,list_content,,REMOVED,HIGH,"Manufactured capital  Our service platform:  • ­Nexus IT system Key inputs • ­IT solutions • ­Transactional switching • ­Specialised disease management • ­Back, neck and shoulder treatment • ­Pharmaceutical wholesaling • ­Pharmaceutical cou"
alignment_status:REMOVED,KP2,8ac44907-16b3-41be-b0aa-a2047f51d366,2024,d9faf2a0-0227-4386-9efb-ff8b72872694,30,,723,LIST,list_content,,REMOVED,HIGH,"• On 24 January 2023, the Company announced an update of the JORC (2012) compliant Mineral Resource, Ore Reserve, PFS information and Production Target at the DX Project. The updated Mineral Resource incorporates the most recent drilling re"
alignment_status:SUBSTANTIALLY_MODIFIED,ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,2018,2cbc2b73-d5e6-4800-ade3-8bd5bb733e18,71,Delivery frame,91,HEADING_WITH_BODY,list_content,,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,Delivery frame  • Main centre – within 24 hours to 48 hours  • Outlying areas – within 24 hours to  48 hours  • Far outlying areas – within 48 hours to  72 hours  • Remote areas – within 72 hours  AAR Kenya AfroCentric Health Solutions Keny
alignment_status:SUBSTANTIALLY_MODIFIED,ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,2018,a3ca7181-ce87-46c9-92f2-d21da805bb9c,196,HEALTHCARE ADMINISTRATION,398,HEADING_WITH_BODY,list_content,,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,HEALTHCARE ADMINISTRATION  • Medscheme’s established clients and products make it the core of the Group’s value chain optimisation. Its ability to collaborate with the other companies and consolidate schemes in the value chain drive its suc
alignment_status:SUBSTANTIALLY_MODIFIED,ACT,df83cc42-dc79-40f7-802e-bd6cf9cc0e57,2022,f01b84c0-37b2-44d5-a2f7-faadeefcf6c3,277,ie,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,ie
alignment_status:UNCHANGED,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,9682f2b0-f5f1-4517-9e92-98d14199d03b,113,st,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,UNCHANGED,HIGH,st
alignment_status:UNCHANGED,BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,2021,a69ec232-5f79-444d-88bf-8bed7cf349f4,29,South America,47,HEADING_WITH_BODY,list_content,,UNCHANGED,NEEDS_REVIEW,"South America  • ADT assembly plant at Eisenach-Kindel, Germany  • Independent dealer network supported by Bell owned  operations in the UK, Germany and France  • Full range of Bell ADTs supplied from German assembly plant  • Dealer parts s"
alignment_status:UNCHANGED,KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,2022,384a60a2-1212-4f74-8378-861faefc03a0,123,CORPORATE GOVERNANCE REPORT (CONT) BOARD LEADERSHIP AND COMPANY PURPOSE (Cont) Provisions,391,HEADING_WITH_BODY,list_content,,UNCHANGED,NEEDS_REVIEW,CORPORATE GOVERNANCE REPORT (CONT) BOARD LEADERSHIP AND COMPANY PURPOSE (Cont) Provisions  1. The board should assess the basis on which the company generates and preserves value over the long-term. It should describe in the annual report h
category:broken_fragment_sequence,ACT,34ada83c-783b-46dd-811f-b6a3cfecb8ac,2021,91128a12-8032-4d1b-bafe-d6aee7c1c204,703,2021 INTEGRATED REPORT,143,HEADING_WITH_BODY,broken_fragment_sequence,EXCLUDE,NEW,HIGH,2021 INTEGRATED REPORT  % change  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –  – – – – – –
category:broken_fragment_sequence,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,15fbe698-33df-40f8-8e66-4a9f6d22016c,1041,is,2,HEADING_WITH_BODY,broken_fragment_sequence,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,is  ri
category:broken_fragment_sequence,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,f1c645e7-3483-4266-8340-00de5c5386a6,1638,3 Empowering current and next generations,46,HEADING_WITH_BODY,broken_fragment_sequence,EXCLUDE,NEW,HIGH,"3 Empowering current and next generations  Refer to Franchisee experience  Listen to a podcast with Joe Stead, our environmental sustainability manager  ot  en  tia  l s  ca  le  of  im  pa  ct  Le  ve  ra  ge  or  e c  ap  abi  lit  ies  /"
category:caption_or_label_like,ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,2018,75c76830-ec0b-48c1-9a4a-32b4f6fb676d,190,rs,31,HEADING_WITH_BODY,caption_or_label_like,REVIEW,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,"rs  • Government • Individual patients • Schemes  • Business development • Group legal,  governance,  risk management  and compliance  • Group finance • Human capital • Group marketing and  corporate affairs"
category:caption_or_label_like,BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,2021,e65d08d9-cf1f-420a-9a46-41d3832693a0,95,SA,5,HEADING_WITH_BODY,caption_or_label_like,REVIEW,AMBIGUOUS,NEEDS_REVIEW,SA  100% Bell Equipment  Limited
