id,case_type,route,expect_evidence,evidence_count,retrieval_miss,status,cited_count,citation_completeness,unsupported_claim_suspected,provider_failed,retrieval_latency_ms,generation_latency_ms
straightforward-act-liquidity,straightforward,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,372,1
straightforward-bel-governance,straightforward,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,124,0
straightforward-kp2-remuneration,straightforward,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,134,0
broad-corpus-governance-practices,broad_descriptive,CORPUS_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,123,0
broad-sur-strategy,broad_descriptive,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,179,0
numeric-sbp-financial-condition,numeric,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,526,0
numeric-sdl-risk-figures,numeric,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,1042,0
context-act-climate,surrounding_context,DOCUMENT_QA,true,0,true,INSUFFICIENT_EVIDENCE,0,1.00,false,false,429,
no-answer-esports,no_answer,CORPUS_QA,false,0,false,INSUFFICIENT_EVIDENCE,0,1.00,false,false,469,
no-answer-cryptocurrency-mining,no_answer,CORPUS_QA,false,0,false,INSUFFICIENT_EVIDENCE,0,1.00,false,false,470,
comparison-act-risk-change,comparison,COMPARISON_QA,true,1,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,400,0
comparison-bel-governance-change,comparison,COMPARISON_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,180,0
chronology-kp2-strategy-over-time,chronology,COMPARISON_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,181,0
restatement-sbp-corrected-figures,restatement,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,329,0
conflicting-sdl-risk-assessment,conflicting_evidence,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,285,0
multi-report-kp2-all-years,multi_report,DOCUMENT_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,211,0
multi-report-corpus-risk-themes,multi_report,CORPUS_QA,true,5,false,PROVIDER_UNAVAILABLE,0,1.00,false,true,184,0
