config_label,case_id,case_type,expected,actual,primary_stage,recovered,precision_at_3,recall_at_5,has_duplicate_passage_id,citation_complete,latency_ms,was_retrieval_miss_baseline_case
BASELINE_CANONICAL,sup-act-financial-growth,answerable_by_one_passage,SUPPORTED,SUPPORTED,RETRIEVAL_MISS,false,0.000,0.000,false,true,353,true
BASELINE_CANONICAL,sup-act-governance-board-meetings,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,GATE_MISCLASSIFICATION,true,0.333,1.000,false,true,230,false
BASELINE_CANONICAL,sup-act-risk-labour-standards,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,0.333,1.000,false,true,184,false
BASELINE_CANONICAL,sup-bel-financial-repurchase,answerable_by_one_passage,SUPPORTED,SUPPORTED,RERANKING_MISS,false,0.000,0.000,false,true,186,false
BASELINE_CANONICAL,sup-bel-governance-board-charter,answerable_by_one_passage,SUPPORTED,SUPPORTED,RERANKING_MISS,false,0.000,0.000,false,true,163,false
BASELINE_CANONICAL,sup-bel-risk-credit-guarantee,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,0.333,1.000,false,true,215,false
BASELINE_CANONICAL,sup-kp2-governance-hse-committee,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,RERANKING_MISS,false,0.000,0.000,false,true,144,false
BASELINE_CANONICAL,sup-kp2-financial-loss,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,0.333,1.000,false,true,138,false
BASELINE_CANONICAL,sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,1.000,0.500,false,true,184,false
BASELINE_CANONICAL,sup-sbp-governance-remuneration-policy,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,GATE_MISCLASSIFICATION,true,0.333,1.000,false,true,139,false
BASELINE_CANONICAL,sup-sbp-strategy-investment-proposition,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,0.333,1.000,false,true,121,false
BASELINE_CANONICAL,sup-sdl-financial-fair-value,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,GATE_MISCLASSIFICATION,true,0.333,1.000,false,true,120,false
BASELINE_CANONICAL,sup-sdl-governance-key-management,answerable_by_one_passage,SUPPORTED,SUPPORTED,PIPELINE_SUCCESS,true,0.333,1.000,false,true,119,false
