case_id,case_type,reranker,evidence_set_size,expected,actual,recovered,precision_at_3,precision_at_5,recall_at_5,selected_a_trap,citation_complete,redundancy_ratio
sup-act-financial-growth,answerable_by_one_passage,baseline,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-act-financial-growth,answerable_by_one_passage,baseline,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-financial-growth,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-financial-growth,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-act-financial-growth,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-financial-growth,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-financial-growth,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-act-financial-growth,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-financial-growth,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8000
sup-act-governance-board-meetings,answerable_by_one_passage,baseline,3,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,false,0.0000,0.0000,0.0000,false,true,0.6667
sup-act-governance-board-meetings,answerable_by_one_passage,baseline,5,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,false,0.0000,0.0000,0.0000,false,true,0.8500
