preset,case_id,case_type,expected,actual,recovered,precision_at_3,citation_complete,has_duplicate,wrong_topic_right_company_false_support
minimal_gate,sup-act-financial-growth,answerable_by_one_passage,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-act-governance-board-meetings,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-act-risk-labour-standards,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-bel-financial-repurchase,answerable_by_one_passage,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-bel-governance-board-charter,answerable_by_one_passage,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-bel-risk-credit-guarantee,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-kp2-governance-hse-committee,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-kp2-financial-loss,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1.0000,true,false,false
minimal_gate,sup-sbp-governance-remuneration-policy,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-sbp-strategy-investment-proposition,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-sdl-financial-fair-value,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-sdl-governance-key-management,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,sup-sur-financial-target-setting,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-sur-risk-stakeholder-governance,answerable_by_one_passage,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,true,false,false
minimal_gate,sup-sur-strategy-loadshedding,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-earlier-side-act-labour,answerable_only_from_earlier_side,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-later-side-kp2-hse,answerable_only_from_later_side,SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,sup-new-sdl-directors-report,answerable_from_new_disclosure,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,false,0.0000,true,false,false
minimal_gate,sup-removed-act-leadership-bio,answerable_from_removed_disclosure,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,true,false,false
minimal_gate,sup-modified-bel-agm-notice,answerable_from_modified_disclosure,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,false,0.0000,true,false,false
minimal_gate,sup-period-kp2-2024,answerable_only_within_one_report_period,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,partial-sbp-remuneration-and-succession,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,partial-bel-repurchase-and-buyback-pricing,partially_answerable,PARTIALLY_SUPPORTED,SUPPORTED,false,0.0000,true,false,false
minimal_gate,partial-kp2-materiality-and-fraud-risk,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,true,false,false
minimal_gate,partial-act-diversity-and-gender-pay-gap,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,ambiguous-sbp-restatement,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,SUPPORTED,false,0.0000,true,false,true
minimal_gate,ambiguous-sdl-directors-report-new-removed,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,AMBIGUOUS_OR_CONFLICTING,false,0.0000,true,false,false
minimal_gate,ambiguous-sbp-listed-investment-performance,ambiguous,AMBIGUOUS_OR_CONFLICTING,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,ambiguous-sbp-non-executive-directors,ambiguous,AMBIGUOUS_OR_CONFLICTING,SUPPORTED,false,0.0000,true,false,false
minimal_gate,ambiguous-sbp-valuation-summary,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-airline-loyalty,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-esports,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-agriculture-subsidy,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-deep-sea-mining,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,AMBIGUOUS_OR_CONFLICTING,false,0.0000,true,false,false
minimal_gate,noanswer-social-media-influencer,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,noanswer-patent-litigation,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,noanswer-nonexistent-company,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,PARTIALLY_SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-unsupported-acquisition,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,noanswer-nonexistent-regulatory-event,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,SUPPORTED,false,0.0000,true,false,false
minimal_gate,noanswer-unsupported-numeric-claim,unsupported_exact_numeric_claim,INSUFFICIENT_EVIDENCE,SUPPORTED,false,0.0000,true,false,false
minimal_gate,numeric-trap-act-operating-margin,numerical_table_fragment_without_explanatory_prose,INSUFFICIENT_EVIDENCE,SUPPORTED,false,0.0000,true,false,false
minimal_gate,numeric-trap-sbp-investments-per-category,numerical_table_fragment_without_explanatory_prose,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,numeric-trap-short-heading-operations,short_heading_trap,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,short-heading-trap-usd-currency,short_heading_trap,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
minimal_gate,short-heading-trap-back-navigation,short_heading_trap,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,0.0000,true,false,false
