category,ticker,report_pair_id,gap_months,is_transition,earlier_passage_id,later_passage_id,earlier_page_range,later_page_range,alignment_status,alignment_type,confidence,semantic_similarity,lexical_cosine_similarity,jaccard_similarity,edit_similarity,heading_similarity,length_ratio,combined_score,review_reason,earlier_text,later_text
high_confidence_unchanged,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,825be987-c031-4408-9c1a-4133ed13b2c0,519a8e89-473c-4eb0-91fb-cb66b423b811,175,162,UNCHANGED,ONE_TO_ONE,HIGH,1.0,1.0,1.0,1.0,1.0,1.0,0.9895556835542112,,,
high_confidence_unchanged,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,12,False,7d049fa5-210d-488e-a9f8-26168bae112d,25872ab3-5dbd-4462-8102-ca9df52473b1,58,54,UNCHANGED,ONE_TO_ONE,HIGH,0.9999825954437256,0.9928729466271625,0.94,0.9821428571428571,1.0,1.0,0.9892087652945207,,,
high_confidence_unchanged,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,7becfc40-3dbc-44a2-af56-3552dda14bec,2b7405fb-e463-42ec-a1bc-d83b3cf6568d,28,33,UNCHANGED,ONE_TO_ONE,HIGH,1.0,1.0,1.0,1.0,1.0,1.0,0.99992243308176,,,
lightly_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,cc1d12f3-39b7-4142-b5b0-86b55c9a4ac4,59a4f767-db10-4459-8125-bb7803b713ac,35,52,LIGHTLY_MODIFIED,ONE_TO_ONE,MEDIUM,0.9799392223358154,0.9013975607028469,0.6366906474820144,0.6892430278884463,0.0,0.9960159362549801,0.804303437183438,,,
lightly_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,aec7dd51-d3fe-43f9-bd1f-d7cca6c47f7b,4293aee5-2e34-4db2-8cea-6def726e6cbf,161,181,LIGHTLY_MODIFIED,ONE_TO_ONE,HIGH,0.9610702418643109,0.8898268459616482,0.6233766233766234,0.6346863468634687,0.7071067811865475,0.6531365313653137,0.8649010779751883,,,
lightly_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,7136596d-2871-472a-b137-52f4e05ebc5c,c3cbbc3d-d47e-403e-a171-afa4fc431f07,32,50,LIGHTLY_MODIFIED,ONE_TO_ONE,NEEDS_REVIEW,0.9561494614988904,0.0,,0.0,0.0,1.0,0.5693433754492995,high semantic / low lexical: likely paraphrase or rewrite with similar meaning,,
substantially_modified,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,1bfb5dd2-0ec2-405a-b650-2432778bd5ff,39f1f37a-6fdb-41ee-b84d-0eab4361be43,96-97,126,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,MEDIUM,0.7240163303618533,0.205269750912223,0.0,0.042857142857142816,0.0,0.7847222222222222,0.4835948604492689,irregular reporting gap (96 months),,
substantially_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,8a0402e4-66b2-4989-b58c-ae8c8cb4075c,89f28dc7-0534-48d0-89a0-95ba56e34b76,30,89,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,LOW,0.7664287368740211,0.0,0.0,0.0,0.0,0.25,0.45331918091052403,,,
substantially_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,016af087-7873-4d9d-ba11-bcd15a4add68,5fb73ab4-4c87-436d-907a-07b20a5919a2,137,121,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,HIGH,0.813080370426178,0.5773502691896258,0.0,0.33333333333333337,0.5773502691896258,0.3333333333333333,0.6415317341465205,,,
high_semantic_low_lexical,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,12,False,d4dda4c4-219a-4878-91b3-620d2493e7f8,0054615c-a837-4ee8-91d8-4e1d68e7575c,80,80,LIGHTLY_MODIFIED,ONE_TO_ONE,NEEDS_REVIEW,0.8893594410824613,0.4917108534900227,0.26666666666666666,0.3125,0.0,0.436046511627907,0.6511678256782136,high semantic / low lexical: likely paraphrase or rewrite with similar meaning,,
